ticket_id,description,category,severity,resolution,resolution_cluster,user_tier,department,auto_resolved,verified,created_at
INC-10000,"Hi team, office applications not activating due to license issue",Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Engineering,True,True,2025-01-01T00:00:00Z
INC-10001,SAP transaction blocked with authorisation object missing error,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Engineering,True,True,2025-11-18T00:00:00Z
INC-10002,"Hi team, duplex printing not working on network printer driver issue",Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,Procurement,True,True,2026-01-18T00:00:00Z
INC-10003,user transferred offices needs local system access adjusted,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,HR,True,True,2025-11-18T00:00:00Z
INC-10004,urgent - software activation failing license not recognised by server,Software Install,P4,Assign or reactivate software license for user,software_license_assign,standard,Sales,True,True,2025-04-07T00:00:00Z
INC-10005,network port at new desk not active no connectivity,Network/Connectivity,P3,Enable network port on switch for user device,network_port_enable,standard,Operations,True,True,2025-04-13T00:00:00Z
INC-10006,SAP role assignment incorrect after department restructure urgent,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Logistics,True,True,2025-11-28T00:00:00Z
INC-10007,my login has been locked need account to be unlocked,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,standard,Finance,True,True,2025-08-20T00:00:00Z
INC-10008,SAP user role not updated after i transferred departments,SAP Issues,P3,Reassign or repair SAP user role permissions,sap_role_assign,standard,Engineering,True,True,2025-02-24T00:00:00Z
INC-10009,urgent - cannot send emails because mailbox is at capacity full,Email Access,P3,Clear mailbox quota and archive old emails,email_quota_fix,standard,HR,True,True,2025-10-18T00:00:00Z
INC-10010,"Hi team, SAP completely down for entire procurement team urgent",SAP Issues,P3,Restart SAP application service and clear job queue,sap_service_restart,contractor,Procurement,True,True,2025-11-28T00:00:00Z
INC-10011,print quality issues and wrong orientation driver corrupt asap,Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,Logistics,True,True,2025-06-09T00:00:00Z
INC-10012,spam filter blocking legitimate emails from colleagues,Email Access,P3,Remove conflicting email rules or corrupted filters,email_rule_fix,standard,Logistics,True,True,2025-09-04T00:00:00Z
INC-10013,office365 license not provisioned for new user account,Software Install,P3,Assign or reactivate software license for user,software_license_assign,standard,Sales,True,True,2025-10-10T00:00:00Z
INC-10014,bitlocker policy forcing encryption but user needs exemption,Permissions/Access,P3,Fix Group Policy Object causing access denial,permission_policy_fix,standard,Logistics,True,True,2025-05-20T00:00:00Z
INC-10015,removed from security group by mistake and lost system access urgent,Permissions/Access,P3,Assign correct role or group membership in AD,permission_role_assign,standard,Marketing,True,True,2025-12-23T00:00:00Z
INC-10016,"Hi team, vpn client application crashed after windows update yesterday",VPN Problems,P4,Uninstall and reinstall VPN client software,vpn_client_reinstall,standard,HR,True,True,2025-08-01T00:00:00Z
INC-10017,Head of HR account locked needs immediate access,Auth/SSO,P3,Unlock user account in Active Directory,account_unlock,vip,Logistics,False,True,2026-01-23T00:00:00Z
INC-10018,SAP password has expired need to reset SAP credentials,SAP Issues,P3,Reset SAP credentials and clear session cache,sap_credential_reset,standard,Procurement,True,True,2025-08-01T00:00:00Z
INC-10019,internet not working properly only some sites accessible,Network/Connectivity,P3,Flush DNS cache and renew IP address,network_dns_flush,standard,IT,True,True,2025-07-27T00:00:00Z
INC-10020,vpn authentication failing certificate has passed expiry date,VPN Problems,P3,Renew or reinstall VPN certificate,vpn_cert_renew,standard,HR,True,True,2026-01-21T00:00:00Z
INC-10021,"Hi team, software installation blocked needs administrator privileges",Software Install,P4,Run installer with elevated admin privileges,software_admin_install,standard,Sales,True,True,2025-06-07T00:00:00Z
INC-10022,install wizard failing at elevation step admin rights needed,Software Install,P4,Run installer with elevated admin privileges,software_admin_install,standard,IT,True,True,2026-01-17T00:00:00Z
INC-10023,printer printing blank pages driver needs to be reinstalled,Printer Issues,P3,Reinstall or update printer driver,printer_driver_install,standard,Legal,True,True,2026-01-21T00:00:00Z
INC-10024,printer available on some workstations completely missing on others,Printer Issues,P3,Re-map network printer and verify IP address,printer_network_map,standard,HR,False,True,2025-10-09T00:00:00Z
INC-10025,urgent - shared mailbox not accessible after permissions were changed,Email Access,P3,Remove conflicting email rules or corrupted filters,email_rule_fix,standard,Logistics,True,True,2025-12-19T00:00:00Z
INC-10026,email client not working after windows was rebuilt on laptop,Email Access,P3,Rebuild or repair Outlook profile,email_profile_repair,contractor,Legal,True,True,2025-03-21T00:00:00Z
